family,size,m,BOS_ms,FIFO_ms,HEFT_ms,BOS_gap,FIFO_gap,HEFT_gap,bos_adv_vs_heft_pct,fifo_penalty_vs_bos_pct,gap_diff_lb,label
chain_heavy,large,2,385.0,385.6,384.8,0.1309,0.2849,0.0773,-0.051975051975049015,0.15584415584416175,-0.053599999999999995,chain_heavy | large | m=2
chain_heavy,large,4,193.0,195.2,193.0,0.3905,1.5454,0.3905,0.0,1.1398963730569889,0.0,chain_heavy | large | m=4
chain_heavy,large,8,98.0,101.0,98.2,1.9539,5.0814,2.1683,0.20366598778004363,3.061224489795918,0.21439999999999992,chain_heavy | large | m=8
chain_heavy,medium,2,169.8,171.0,169.8,0.5407,1.2429,0.5407,0.0,0.7067137809187212,0.0,chain_heavy | medium | m=2
chain_heavy,medium,4,86.2,88.0,86.0,2.0997,4.207,1.8558,-0.23255813953488702,2.088167053364266,-0.2439,chain_heavy | medium | m=4
chain_heavy,medium,8,46.2,49.4,46.4,8.186,15.7716,8.6882,0.4310344827586115,6.926406926406917,0.5022000000000002,chain_heavy | medium | m=8
chain_heavy,small,2,71.6,72.8,71.4,1.4328,3.1736,1.1511,-0.2801120448179112,1.6759776536312891,-0.28170000000000006,chain_heavy | small | m=2
chain_heavy,small,4,38.0,40.4,38.2,7.3911,14.0137,7.9506,0.5235602094240912,6.315789473684206,0.5594999999999999,chain_heavy | small | m=4
chain_heavy,small,8,33.6,33.6,33.6,3.6514,3.6514,3.6514,0.0,0.0,0.0,chain_heavy | small | m=8
fork_join,large,2,356.6,357.0,356.8,0.2857,0.4009,0.3402,0.056053811659189635,0.11217049915871488,0.05449999999999999,fork_join | large | m=2
fork_join,large,4,179.4,181.4,179.2,0.9048,2.0315,0.7905,-0.11160714285715237,1.1148272017837235,-0.11430000000000007,fork_join | large | m=4
fork_join,large,8,91.6,93.8,91.4,3.0475,5.553,2.8169,-0.21881838074397003,2.401746724890833,-0.23059999999999992,fork_join | large | m=8
fork_join,medium,2,147.0,147.4,147.0,0.6739,0.9426,0.6739,0.0,0.2721088435374189,0.0,fork_join | medium | m=2
fork_join,medium,4,74.6,76.6,74.8,2.2084,5.0044,2.4815,0.2673796791443888,2.680965147453083,0.2730999999999999,fork_join | medium | m=4
fork_join,medium,8,40.4,43.0,40.4,10.2431,17.5104,10.2953,0.0,6.43564356435644,0.052199999999999136,fork_join | medium | m=8
fork_join,small,2,61.4,62.6,62.0,1.9536,3.9359,2.9944,0.9677419354838732,1.9543973941368125,1.0408000000000002,fork_join | small | m=2
fork_join,small,4,32.6,34.8,32.8,8.24,15.5911,8.9543,0.6097560975609627,6.748466257668698,0.7142999999999997,fork_join | small | m=4
fork_join,small,8,25.8,26.2,25.8,5.1087,6.7984,5.1087,0.0,1.5503875968992191,0.0,fork_join | small | m=8
merge_heavy,large,2,392.6,394.2,392.6,0.0525,0.4643,0.0525,0.0,0.4075394803871538,0.0,merge_heavy | large | m=2
merge_heavy,large,4,197.2,199.4,197.2,0.5142,1.6359,0.5095,0.0,1.115618661257615,-0.0047000000000000375,merge_heavy | large | m=4
merge_heavy,large,8,100.2,104.2,100.0,2.1507,6.2239,1.9512,-0.20000000000000281,3.992015968063872,-0.1995,merge_heavy | large | m=8
merge_heavy,medium,2,161.2,162.0,161.0,0.5643,1.0739,0.4254,-0.12422360248446498,0.49627791563276147,-0.13890000000000002,merge_heavy | medium | m=2
merge_heavy,medium,4,81.8,83.8,82.2,2.0613,4.5428,2.5609,0.4866180048661869,2.444987775061125,0.49960000000000004,merge_heavy | medium | m=4
merge_heavy,medium,8,44.8,48.4,45.0,7.0607,15.4944,7.5051,0.44444444444445075,8.035714285714288,0.4443999999999999,merge_heavy | medium | m=8
merge_heavy,small,2,64.4,64.6,64.4,2.678,2.9727,2.678,0.0,0.31055900621116245,0.0,merge_heavy | small | m=2
merge_heavy,small,4,35.4,36.6,35.6,8.197,12.0746,8.7853,0.5617977528089967,3.3898305084745846,0.5883000000000003,merge_heavy | small | m=4
merge_heavy,small,8,31.0,31.0,31.0,4.069,4.069,4.069,0.0,0.0,0.0,merge_heavy | small | m=8
overlap_rich,large,2,344.2,346.4,344.8,0.2335,0.879,0.4047,0.17401392111369568,0.639163277164436,0.1712,overlap_rich | large | m=2
overlap_rich,large,4,173.4,175.8,174.0,0.9935,2.3841,1.3476,0.3448275862068933,1.3840830449827022,0.35409999999999986,overlap_rich | large | m=4
overlap_rich,large,8,89.0,91.6,88.4,3.6857,6.7136,2.9958,-0.6787330316742016,2.921348314606735,-0.6899000000000002,overlap_rich | large | m=8
overlap_rich,medium,2,156.0,156.6,156.2,0.8358,1.2388,0.9653,0.12804097311138837,0.384615384615381,0.12950000000000006,overlap_rich | medium | m=2
overlap_rich,medium,4,80.0,81.8,80.0,3.4189,5.7788,3.4189,0.0,2.2499999999999964,0.0,overlap_rich | medium | m=4
overlap_rich,medium,8,42.4,44.4,42.8,9.6323,14.8748,10.6981,0.9345794392523332,4.716981132075472,1.0657999999999994,overlap_rich | medium | m=8
overlap_rich,small,2,62.2,63.2,62.2,3.1705,4.7548,3.1635,0.0,1.607717041800643,-0.007000000000000117,overlap_rich | small | m=2
overlap_rich,small,4,33.4,34.8,33.4,10.8674,15.5097,10.8674,0.0,4.191616766467062,0.0,overlap_rich | small | m=4
overlap_rich,small,8,23.4,23.6,23.4,13.8246,14.7337,13.8246,0.0,0.854700854700867,0.0,overlap_rich | small | m=8
